,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
119,"""Great Experience!""",I worked at HP Inc. full-time for less than a year,"People are very friendly, my manager worked very hard to ensure that our experience was fulfilling and engaging. Loved the buddy and mentor system.","Of course, employees are busy with their own work but more feedback on our assignments would've been great.",5.0,3.0,5.0,5.0,4.0
120,"""Great people working on hard problems""",I worked at HP Inc. full-time for more than 5 years,Really strong HR leadership team with enough resources to divide and conquer hard problems,"Tough to be in a declining business, change management is constant",,,,,
121,"""System Engineer""",I worked at HP Inc. full-time for more than 10 years,"Flexible Time, friendly environment, intelligent and talented engineers",Company has been hurt badly by a history of inappropriate decisions at CEO level during the last 20 years.,5.0,5.0,1.0,3.0,1.0
122,"""Old HP""",I worked at HP Inc. full-time for more than 10 years,Very Collegiate Culture. Supportive,Long Hours spread over multiple geographies. Lack of Raised,,,,,
123,"""You’ll be just another cog in the gargantuan HP machine""",I worked at HP Inc. ,"1. People. Coworkers were almost always great. 

2. Flexibility of work schedule. WFH and flexibility in working hours was great. 

3. Pay. I’ve yet to get a job that pays me even 64% if what I made at HP. 

4. Benefits Package. (PTO + insurance + retirement)

5. Company-provided equipment. (Laptops, monitors, etc) 

6. Empathy and compassion from management (depending upon your individual manager) if something tragic or traumatic happens. After the death of a parent, my boss let me take four weeks of paid bereavement leave that didn’t come out of my PTO balance.","1. The culture created by management. You’re just a cog in the gargantuan HP machine. HP cares not about your hopes and dreams or your career advancement. Even if you push hard for something like mentorship, which is something they promote, your requests will likely be ignored or pushed aside. 

2. Adherence to the bottom line creates job instability for employees. Sudden and unexpected layoff occur. I was “let go” and given fake reasons why. What it came down to was that I was laid off without HP calling it a lay-off so they didn’t have to report it, which would have been detrimental to the stock price. 

3. If you get laid off or let go, you won’t see it coming. I had a one-on-one scheduled with my manager. As we were walking to find a conference room, we chatted like it was any other day. Just chitchat. Then we walked into a conference room in a different building and he immediately hit me with the news I was being let go. When I questioned why, he gave me a made up reason related to my performance. When I challenged him and told me he was incorrect, he fumbled over his words and gave me a different reason that was equally made up. 

4. Lack of interaction with management. In the nearly five years I worked at HP, I can probably count on two hands the number of times I had real interaction (something beyond chitchat) with the two different managers for whom I worked. 

5. Also, if you accept a severance package, as I did, you will never be eligible for rehire. EVER. After working for HP for 4 years and just shy of 11 months, my severance package was a half a month’s pay, but no one ever told me I’d never be able to come back and my severance paperwork never indicated as much, either. 

6. Favoritism. This is definitely a problem. My first manager took the words of another person I worked with as the God’s honest truth when that person blamed me for a mistake she made. My manager never even asked me if I knew anything about the problem created by this other person. She just automatically assumed the problem arose because of me. I was told “you set us back weeks” after this other person mucked up some data she was analyzing for a new metric. This other person had asked me to look at the data and run a test, which I did exactly as she asked me to. I ran the test on literally 100 rows out of 100,000 rows for approximately 15 minutes and didn’t save anything. My second manager played favorites and I felt as if I had been “left behind” (for lack of a better term) while the other new hires I worked with were brought along much more quickly than I was. The other two new people on the team were given special treatment and paid special attention that I wasn’t. It helped if you were an athlete of some kind or if you liked mountain biking. That helped you “fit in” with the little clique created by my manager. Apparently I didn’t “fit in” because I didn’t join them on their mountain biking trek or their whitewater rafting trip one summer.",5.0,1.0,3.0,5.0,2.0
124,"""Great company to work for""",I have been working at HP Inc. full-time for more than 10 years,"Innovation, customer and employee oriented",Some aspects of the compensation program,,,,,
125,"""Field Sales Representative""",I have been working at HP Inc. full-time for more than 5 years,"Flexible Schedule, Remote Worker, Face to Face interactions, Culture, Coworkers","Timely Pay, Quota Adjustment, High Pressure",,,,,
126,"""HP's great people / Young Leadership""",I worked at HP Inc. full-time for more than 8 years,The caliber of it's employees.,No executive presence and frequent restructuring or layoffs over 50.,1.0,4.0,3.0,5.0,2.0
127,"""Great work environment, but I don't trust the leadership""",I worked at HP Inc. full-time for more than 5 years,"I worked with great people.
HP really encourages teamwork, collaboration, and having fun with your coworkers.
HP works hard to improve site and company sustainability.
HP supports diversity in all forms.
I learned a lot at HP and really enjoyed being a part of the team.","The company had a bad quarter and laid off a ton of people, and then asked whoever was left to do even more with less support. The layoffs also include a scorched-earth policy where former employees basically can't ever work for HP again. 
The company uses a lot of contract workers in places where they're basically regular employees who aren't paid as well.
Generally, I don't trust the decisions that HP's leadership makes.",4.0,5.0,5.0,4.0,1.0
128,"""Wonderful culture""",I worked at HP Inc. full-time for more than a year,The culture is very pro employee. Great pay. great people.,At times the workload was pretty intense.,4.0,5.0,4.0,5.0,4.0
129,"""HP""",I worked at HP Inc. full-time,no response to this question,this too requires longer answers,,,,,
130,"""Great company to work for""",I have been working at HP Inc. full-time for more than 3 years,I work with smart colleagues and leaders. My work is interesting and new opportunities are always available. Innovative approaches are encouraged. Work/life balance is honored.,"Being a global company has its challenges, particularly in terms of time zones.",5.0,5.0,5.0,4.0,5.0
131,"""Shadow of a Once Great Company""",I worked at HP Inc. full-time for more than 10 years,They care about their people. Lots of perks. Great atmosphere with supportive colleagues. Not a competitive environment among peers.,Pressure is increasing as business success is dwindling. Profit oriented business model is forcing layoffs which exacerbates the problem of too few people to do too much work. Sadly I don't see this turning around.,4.0,5.0,4.0,4.0,2.0
132,"""Good time overall""",I worked at HP Inc. full-time for more than a year,"Flexible schedule, not boring, good stuff all around",None I can think of,,,,,
133,"""Good working enivroment.""",I worked at HP Inc. full-time for more than a year,"Good pay and I was apart of a sociable, hardworking team",The hours were something I didn't like,5.0,5.0,5.0,5.0,5.0
134,"""HP Inc""",I have been working at HP Inc. full-time,"Flexible work schedule, good company culture",Sometimes need to find creative solutions to the challenges that legacy systems can pose.,,,,,
